Code,FromCity Unknown,ToCity Unknown,Total Unknown,Status
KT82,1667,1727,3394,✗ MISSING
K5B2,746,767,1513,✗ MISSING
K27K,720,724,1444,✗ MISSING
K0A9,718,726,1444,✗ MISSING
KF45,611,594,1205,✗ MISSING
K29D,590,605,1195,✗ MISSING
K1R8,557,533,1090,✗ MISSING
K1A5,441,444,885,✗ MISSING
KF82,456,421,877,✗ MISSING
K5C1,421,427,848,✗ MISSING
KX60,379,452,831,✗ MISSING
K11R,387,397,784,✗ MISSING
K8A0,351,318,669,✗ MISSING
K46U,306,320,626,✗ MISSING
KM19,262,291,553,✗ MISSING
K4I3,264,272,536,✗ MISSING
KO69,247,270,517,✗ MISSING
K20V,253,256,509,✗ MISSING
K38S,238,247,485,✗ MISSING
K3T5,231,242,473,✗ MISSING
KS25,227,238,465,✗ MISSING
KS21,228,207,435,✗ MISSING
KE38,217,201,418,✗ MISSING
KP19,202,189,391,✗ MISSING
KM40,186,198,384,✗ MISSING
K3J1,183,192,375,✗ MISSING
K6A1,189,181,370,✗ MISSING
KM25,187,173,360,✗ MISSING
K3S8,175,180,355,✗ MISSING
K1B1,177,176,353,✗ MISSING
K6S0,166,180,346,✗ MISSING
K8M1,166,170,336,✗ MISSING
KM54,161,164,325,✗ MISSING
K2I0,159,164,323,✗ MISSING
KT89,158,160,318,✗ MISSING
K4A9,173,138,311,✗ MISSING
KE25,156,152,308,✗ MISSING
K4O4,131,139,270,✗ MISSING
K2G2,131,132,263,✗ MISSING
K67L,132,126,258,✗ MISSING
K1F0,115,114,229,✗ MISSING
KF17,108,113,221,✗ MISSING
K8A1,109,107,216,✗ MISSING
KE11,115,97,212,✗ MISSING
K0R0,100,99,199,✗ MISSING
KS39,99,92,191,✗ MISSING
KW03,98,92,190,✗ MISSING
KD98,95,91,186,✗ MISSING
K1A9,90,93,183,✗ MISSING
KI68,93,88,181,✗ MISSING
K28J,80,94,174,✗ MISSING
K7S0,84,87,171,✗ MISSING
K0G6,91,79,170,✗ MISSING
K79J,89,80,169,✗ MISSING
K2A0,83,85,168,✗ MISSING
KM02,86,82,168,✗ MISSING
KU42,82,83,165,✗ MISSING
KC29,82,82,164,✗ MISSING
KMO8,82,80,162,✗ MISSING
K3DW,79,79,158,✗ MISSING
KL35,73,75,148,✗ MISSING
K2G4,66,74,140,✗ MISSING
KX07,64,72,136,✗ MISSING
K1H2,65,68,133,✗ MISSING
KF05,59,69,128,✗ MISSING
K65S,62,65,127,✗ MISSING
KN03,59,67,126,✗ MISSING
K5T9,65,61,126,✗ MISSING
KS24,68,58,126,✗ MISSING
K3U3,61,64,125,✗ MISSING
KM04,65,60,125,✗ MISSING
KM21,59,64,123,✗ MISSING
KGDK,58,63,121,✗ MISSING
K0D8,60,61,121,✗ MISSING
K60R,63,57,120,✗ MISSING
K2IS,63,56,119,✗ MISSING
KN66,60,57,117,✗ MISSING
KP20,55,61,116,✗ MISSING
KP52,58,57,115,✗ MISSING
K6I2,62,53,115,✗ MISSING
K2W6,58,57,115,✗ MISSING
K3R7,67,47,114,✗ MISSING
KT30,59,53,112,✗ MISSING
K1M5,50,56,106,✗ MISSING
K15J,54,51,105,✗ MISSING
KO89,51,49,100,✗ MISSING
K2V5,55,44,99,✗ MISSING
K71J,50,48,98,✗ MISSING
KW43,47,48,95,✗ MISSING
K9V9,46,49,95,✗ MISSING
KM91,44,49,93,✗ MISSING
KI40,47,44,91,✗ MISSING
K05C,45,46,91,✗ MISSING
K1M4,47,41,88,✗ MISSING
K2G9,39,48,87,✗ MISSING
KP33,42,43,85,✗ MISSING
KC65,37,48,85,✗ MISSING
KC17,44,41,85,✗ MISSING
K3K8,41,42,83,✗ MISSING
KBOK,44,39,83,✗ MISSING
K4A6,44,38,82,✗ MISSING
K9D9,43,38,81,✗ MISSING
KI18,37,43,80,✗ MISSING
KT23,40,40,80,✗ MISSING
K0G7,42,38,80,✗ MISSING
K74V,42,38,80,✗ MISSING
K54J,40,39,79,✗ MISSING
KW40,38,39,77,✗ MISSING
K7S6,34,40,74,✗ MISSING
KS33,41,31,72,✗ MISSING
K12J,37,34,71,✗ MISSING
K4R3,34,33,67,✗ MISSING
KC09,33,34,67,✗ MISSING
K3M7,33,32,65,✗ MISSING
K0M4,33,30,63,✗ MISSING
K0M0,28,35,63,✗ MISSING
KO05,35,27,62,✗ MISSING
KC24,32,30,62,✗ MISSING
KI34,31,30,61,✗ MISSING
KK24,31,30,61,✗ MISSING
KF00,30,30,60,✗ MISSING
K9K8,28,31,59,✗ MISSING
K0M3,18,40,58,✗ MISSING
K42A,30,27,57,✗ MISSING
KL08,28,27,55,✗ MISSING
K19M,24,30,54,✗ MISSING
K3B1,24,28,52,✗ MISSING
KO43,26,26,52,✗ MISSING
K6A2,24,27,51,✗ MISSING
KY72,34,17,51,✗ MISSING
K87I,27,23,50,✗ MISSING
KF44,28,21,49,✗ MISSING
K98D,20,29,49,✗ MISSING
KS12,24,24,48,✗ MISSING
KM22,26,22,48,✗ MISSING
K3O9,35,11,46,✗ MISSING
K10G,23,23,46,✗ MISSING
K4R5,23,22,45,✗ MISSING
K6R3,24,21,45,✗ MISSING
K06A,22,22,44,✗ MISSING
K3MY,21,22,43,✗ MISSING
K1V6,20,23,43,✗ MISSING
KI23,22,20,42,✗ MISSING
K6A4,20,22,42,✗ MISSING
K2M2,21,20,41,✗ MISSING
KX14,22,18,40,✗ MISSING
K0M5,19,21,40,✗ MISSING
KI69,19,20,39,✗ MISSING
K4M1,19,19,38,✗ MISSING
KM32,18,19,37,✗ MISSING
KM18,17,19,36,✗ MISSING
K3A2,19,17,36,✗ MISSING
K1R7,21,15,36,✗ MISSING
KC04,18,18,36,✗ MISSING
KX51,19,17,36,✗ MISSING
KI63,18,17,35,✗ MISSING
K4G4,19,13,32,✗ MISSING
K0R1,15,17,32,✗ MISSING
K2J3,15,17,32,✗ MISSING
KX50,14,17,31,✗ MISSING
K49B,15,16,31,✗ MISSING
K0L7,13,18,31,✗ MISSING
KM17,15,16,31,✗ MISSING
KC15,15,15,30,✗ MISSING
KK61,16,14,30,✗ MISSING
K5A1,15,14,29,✗ MISSING
KH71,13,16,29,✗ MISSING
K1G0,16,13,29,✗ MISSING
K42J,16,13,29,✗ MISSING
KORS,9,20,29,✗ MISSING
KD73,13,16,29,✗ MISSING
KO46,16,12,28,✗ MISSING
KX35,19,9,28,✗ MISSING
KN81,14,14,28,✗ MISSING
KC83,14,14,28,✗ MISSING
KY31,13,14,27,✗ MISSING
K8S1,12,15,27,✗ MISSING
K0A8,15,12,27,✗ MISSING
KH35,13,13,26,✗ MISSING
K1R1,13,13,26,✗ MISSING
K7M3,13,13,26,✗ MISSING
KM11,5,20,25,✗ MISSING
KU07,7,18,25,✗ MISSING
K4J2,12,12,24,✗ MISSING
K8B0,11,13,24,✗ MISSING
K1L7,12,12,24,✗ MISSING
K41U,13,11,24,✗ MISSING
KM01,10,13,23,✗ MISSING
K6S8,12,11,23,✗ MISSING
KT90,15,8,23,✗ MISSING
KF35,10,12,22,✗ MISSING
KE01,13,9,22,✗ MISSING
KD60,11,11,22,✗ MISSING
KU96,11,10,21,✗ MISSING
KD25,11,10,21,✗ MISSING
KI75,11,10,21,✗ MISSING
K1O4,11,10,21,✗ MISSING
KP13,11,9,20,✗ MISSING
KX26,10,10,20,✗ MISSING
KK82,10,10,20,✗ MISSING
K1H0,9,11,20,✗ MISSING
KM34,11,8,19,✗ MISSING
KE34,12,7,19,✗ MISSING
K8A3,9,9,18,✗ MISSING
K4R7,7,11,18,✗ MISSING
KO02,8,10,18,✗ MISSING
KHTO,10,7,17,✗ MISSING
K3CK,10,7,17,✗ MISSING
K5S6,8,9,17,✗ MISSING
K60F,8,9,17,✗ MISSING
K4V1,8,9,17,✗ MISSING
K1G5,8,9,17,✗ MISSING
K07A,8,9,17,✗ MISSING
KM75,8,9,17,✗ MISSING
KY23,9,8,17,✗ MISSING
KO20,9,7,16,✗ MISSING
KM93,16,0,16,✗ MISSING
KM08,9,7,16,✗ MISSING
KE26,8,8,16,✗ MISSING
K83D,9,6,15,✗ MISSING
K60J,9,6,15,✗ MISSING
KM83,5,10,15,✗ MISSING
K2W5,7,8,15,✗ MISSING
K16G,6,9,15,✗ MISSING
K6S2,8,7,15,✗ MISSING
K2F1,7,7,14,✗ MISSING
K17J,6,8,14,✗ MISSING
K2O3,6,8,14,✗ MISSING
KM79,6,8,14,✗ MISSING
K88M,6,8,14,✗ MISSING
K33N,7,7,14,✗ MISSING
K33V,9,5,14,✗ MISSING
K0A3,7,7,14,✗ MISSING
KC80,6,7,13,✗ MISSING
KS59,5,8,13,✗ MISSING
KNHZ,7,6,13,✗ MISSING
KE42,8,5,13,✗ MISSING
KW99,5,8,13,✗ MISSING
KM43,13,0,13,✗ MISSING
K3LF,6,6,12,✗ MISSING
KF06,6,6,12,✗ MISSING
K9D2,7,5,12,✗ MISSING
K3F3,7,5,12,✗ MISSING
K9D1,5,7,12,✗ MISSING
KT60,8,4,12,✗ MISSING
K91C,4,8,12,✗ MISSING
KNY0,6,6,12,✗ MISSING
KT41,5,7,12,✗ MISSING
KW22,6,6,12,✗ MISSING
K4V0,6,5,11,✗ MISSING
K1S3,5,6,11,✗ MISSING
K8D4,5,6,11,✗ MISSING
KC35,5,6,11,✗ MISSING
K4F2,5,6,11,✗ MISSING
K25M,6,5,11,✗ MISSING
K46D,5,6,11,✗ MISSING
KP08,4,7,11,✗ MISSING
K1G3,7,4,11,✗ MISSING
KT31,7,4,11,✗ MISSING
KC71,10,1,11,✗ MISSING
KH88,6,5,11,✗ MISSING
KC59,6,4,10,✗ MISSING
KM95,5,5,10,✗ MISSING
KX06,7,3,10,✗ MISSING
KF01,5,5,10,✗ MISSING
KH79,5,5,10,✗ MISSING
K9Y1,5,5,10,✗ MISSING
KF21,5,5,10,✗ MISSING
KE63,6,4,10,✗ MISSING
KC08,4,6,10,✗ MISSING
KA08,4,6,10,✗ MISSING
KF86,4,6,10,✗ MISSING
K4J5,5,4,9,✗ MISSING
KINS,7,2,9,✗ MISSING
K12K,4,5,9,✗ MISSING
KS52,5,4,9,✗ MISSING
K3S9,7,2,9,✗ MISSING
KM20,4,5,9,✗ MISSING
KF56,2,7,9,✗ MISSING
KS05,3,6,9,✗ MISSING
K84R,3,5,8,✗ MISSING
K9S9,3,5,8,✗ MISSING
K7M1,3,5,8,✗ MISSING
KN23,3,5,8,✗ MISSING
K17K,5,3,8,✗ MISSING
KE41,4,4,8,✗ MISSING
K8V7,5,3,8,✗ MISSING
K7M4,3,5,8,✗ MISSING
KS34,3,5,8,✗ MISSING
K4M7,4,4,8,✗ MISSING
KM16,2,5,7,✗ MISSING
KZ15,1,6,7,✗ MISSING
KE95,4,3,7,✗ MISSING
KY19,2,5,7,✗ MISSING
KN27,3,4,7,✗ MISSING
K8T6,4,3,7,✗ MISSING
K3M8,0,7,7,✗ MISSING
K3Y2,3,4,7,✗ MISSING
K3CU,3,4,7,✗ MISSING
KM60,4,3,7,✗ MISSING
K24J,3,4,7,✗ MISSING
K0V7,3,4,7,✗ MISSING
KU76,4,3,7,✗ MISSING
KN51,3,3,6,✗ MISSING
K02A,3,3,6,✗ MISSING
KU34,3,3,6,✗ MISSING
KVBW,3,3,6,✗ MISSING
K57C,2,4,6,✗ MISSING
KC62,3,3,6,✗ MISSING
KNUC,4,2,6,✗ MISSING
KK15,1,5,6,✗ MISSING
KO08,2,4,6,✗ MISSING
KT05,3,3,6,✗ MISSING
K45R,2,4,6,✗ MISSING
K2R5,4,2,6,✗ MISSING
K2S7,3,3,6,✗ MISSING
KF22,3,3,6,✗ MISSING
K06U,2,4,6,✗ MISSING
KC91,3,3,6,✗ MISSING
K1L9,2,4,6,✗ MISSING
KTNX,3,3,6,✗ MISSING
KE16,1,5,6,✗ MISSING
K3R4,2,4,6,✗ MISSING
K7A6,2,4,6,✗ MISSING
KM70,3,3,6,✗ MISSING
K33U,3,3,6,✗ MISSING
K2V6,3,2,5,✗ MISSING
K47A,3,2,5,✗ MISSING
KS27,2,3,5,✗ MISSING
KU08,3,2,5,✗ MISSING
KU55,3,2,5,✗ MISSING
K2R0,2,3,5,✗ MISSING
K4S1,2,3,5,✗ MISSING
K44U,2,3,5,✗ MISSING
K6D9,2,3,5,✗ MISSING
KBLD,5,0,5,✗ MISSING
KN87,3,2,5,✗ MISSING
KN98,2,3,5,✗ MISSING
KK89,3,2,5,✗ MISSING
K59B,2,3,5,✗ MISSING
K2R4,2,3,5,✗ MISSING
KM53,2,3,5,✗ MISSING
K2J5,2,3,5,✗ MISSING
K06C,2,3,5,✗ MISSING
KU14,2,2,4,✗ MISSING
K8N2,2,2,4,✗ MISSING
K1K7,1,3,4,✗ MISSING
K3K3,2,2,4,✗ MISSING
KU12,2,2,4,✗ MISSING
KMMM,4,0,4,✗ MISSING
KE57,2,2,4,✗ MISSING
KMC1,4,0,4,✗ MISSING
K9S5,2,2,4,✗ MISSING
K6S3,2,2,4,✗ MISSING
KT74,2,2,4,✗ MISSING
K9K7,2,2,4,✗ MISSING
K1O2,3,1,4,✗ MISSING
K2R2,2,2,4,✗ MISSING
K22S,2,2,4,✗ MISSING
K23R,2,2,4,✗ MISSING
KE14,1,3,4,✗ MISSING
KDPG,2,2,4,✗ MISSING
K4M3,3,1,4,✗ MISSING
K4U9,2,2,4,✗ MISSING
KT20,2,2,4,✗ MISSING
K1A6,2,2,4,✗ MISSING
KI22,2,2,4,✗ MISSING
K48K,3,1,4,✗ MISSING
KI06,1,3,4,✗ MISSING
K2O6,2,2,4,✗ MISSING
KMUF,1,3,4,✗ MISSING
KL22,2,2,4,✗ MISSING
KS97,1,3,4,✗ MISSING
KF87,1,3,4,✗ MISSING
K00M,0,4,4,✗ MISSING
KF75,2,2,4,✗ MISSING
KF47,2,2,4,✗ MISSING
K61A,2,2,4,✗ MISSING
KT78,2,2,4,✗ MISSING
K16D,1,3,4,✗ MISSING
KP14,2,2,4,✗ MISSING
K1U7,2,2,4,✗ MISSING
KBZA,3,0,3,✗ MISSING
KM36,0,3,3,✗ MISSING
KM50,2,1,3,✗ MISSING
KM55,0,3,3,✗ MISSING
KM77,1,2,3,✗ MISSING
KX04,2,1,3,✗ MISSING
KN14,1,2,3,✗ MISSING
KL45,1,2,3,✗ MISSING
KW32,0,3,3,✗ MISSING
K00R,1,2,3,✗ MISSING
KK44,1,2,3,✗ MISSING
KVIO,0,3,3,✗ MISSING
KO53,1,2,3,✗ MISSING
KO86,1,2,3,✗ MISSING
KF98,1,2,3,✗ MISSING
K06M,2,1,3,✗ MISSING
K0B1,1,2,3,✗ MISSING
KS40,2,1,3,✗ MISSING
KK78,1,2,3,✗ MISSING
K5F1,2,1,3,✗ MISSING
K50R,1,2,3,✗ MISSING
K2T1,1,2,3,✗ MISSING
K32A,2,1,3,✗ MISSING
K35D,2,1,3,✗ MISSING
K1D1,1,2,3,✗ MISSING
K1A3,1,2,3,✗ MISSING
K6G1,2,1,3,✗ MISSING
K62S,1,2,3,✗ MISSING
K0F2,1,2,3,✗ MISSING
K39N,2,1,3,✗ MISSING
K14M,1,2,3,✗ MISSING
K9A5,2,1,3,✗ MISSING
K2B7,2,1,3,✗ MISSING
K3G4,2,1,3,✗ MISSING
K7W5,3,0,3,✗ MISSING
K81R,2,1,3,✗ MISSING
K4B6,1,1,2,✗ MISSING
KT88,0,2,2,✗ MISSING
KM23,0,2,2,✗ MISSING
KO41,0,2,2,✗ MISSING
KO32,1,1,2,✗ MISSING
K4A4,0,2,2,✗ MISSING
K50I,1,1,2,✗ MISSING
KTIJ,0,2,2,✗ MISSING
K7V2,1,1,2,✗ MISSING
K18I,2,0,2,✗ MISSING
K17N,1,1,2,✗ MISSING
K17G,1,1,2,✗ MISSING
K8WC,1,1,2,✗ MISSING
KW96,1,1,2,✗ MISSING
KNUW,1,1,2,✗ MISSING
KT50,1,1,2,✗ MISSING
K23M,1,1,2,✗ MISSING
KT69,1,1,2,✗ MISSING
K2F7,1,1,2,✗ MISSING
K2H0,1,1,2,✗ MISSING
KM13,1,1,2,✗ MISSING
KI93,1,1,2,✗ MISSING
KCKA,0,2,2,✗ MISSING
KP03,1,1,2,✗ MISSING
KK62,1,1,2,✗ MISSING
K3R9,0,2,2,✗ MISSING
K3I3,1,1,2,✗ MISSING
KE48,1,1,2,✗ MISSING
KI17,1,1,2,✗ MISSING
KA20,1,1,2,✗ MISSING
K9S2,1,1,2,✗ MISSING
KP23,1,1,2,✗ MISSING
K3K7,1,1,2,✗ MISSING
KE05,1,1,2,✗ MISSING
KGQO,0,2,2,✗ MISSING
K9D4,1,1,2,✗ MISSING
KL06,1,1,2,✗ MISSING
KL31,1,1,2,✗ MISSING
K44N,0,2,2,✗ MISSING
KT85,1,1,2,✗ MISSING
KX39,1,1,2,✗ MISSING
KS87,0,2,2,✗ MISSING
K2O8,1,1,2,✗ MISSING
K24A,1,1,2,✗ MISSING
KH76,1,1,2,✗ MISSING
KGBR,1,1,2,✗ MISSING
K6R6,1,1,2,✗ MISSING
KU02,1,1,2,✗ MISSING
K5A4,0,2,2,✗ MISSING
KZ98,1,1,2,✗ MISSING
KM44,1,1,2,✗ MISSING
KM41,1,1,2,✗ MISSING
KN69,1,1,2,✗ MISSING
KM46,1,1,2,✗ MISSING
K82V,1,1,2,✗ MISSING
K06D,1,1,2,✗ MISSING
K82C,1,1,2,✗ MISSING
K08D,1,1,2,✗ MISSING
K09J,0,2,2,✗ MISSING
K80F,0,2,2,✗ MISSING
KX61,2,0,2,✗ MISSING
KX58,2,0,2,✗ MISSING
K00U,0,2,2,✗ MISSING
K7D3,1,1,2,✗ MISSING
K5N8,1,1,2,✗ MISSING
KEHF,2,0,2,✗ MISSING
KC81,1,1,2,✗ MISSING
K1C1,1,1,2,✗ MISSING
KF49,1,1,2,✗ MISSING
KH19,1,1,2,✗ MISSING
KF88,1,1,2,✗ MISSING
K11A,1,1,2,✗ MISSING
K8G6,1,1,2,✗ MISSING
K0R4,1,1,2,✗ MISSING
K0S9,1,1,2,✗ MISSING
K0V3,1,1,2,✗ MISSING
KX13,1,1,2,✗ MISSING
KX10,1,1,2,✗ MISSING
KC20,1,1,2,✗ MISSING
K7C3,0,1,1,✗ MISSING
K7A8,0,1,1,✗ MISSING
K1S5,0,1,1,✗ MISSING
K22M,0,1,1,✗ MISSING
K20A,1,0,1,✗ MISSING
K1M9,1,0,1,✗ MISSING
KCAM,0,1,1,✗ MISSING
KILA,0,1,1,✗ MISSING
K1X1,0,1,1,✗ MISSING
KC47,0,1,1,✗ MISSING
K7A3,1,0,1,✗ MISSING
K1R4,0,1,1,✗ MISSING
K3TR,1,0,1,✗ MISSING
K6N5,1,0,1,✗ MISSING
KGIJ,0,1,1,✗ MISSING
K70J,1,0,1,✗ MISSING
KIIU,1,0,1,✗ MISSING
KOKB,0,1,1,✗ MISSING
KCCC,1,0,1,✗ MISSING
K3AU,0,1,1,✗ MISSING
K3A7,0,1,1,✗ MISSING
K38U,1,0,1,✗ MISSING
K38J,1,0,1,✗ MISSING
K33J,1,0,1,✗ MISSING
K2RR,0,1,1,✗ MISSING
KHPW,0,1,1,✗ MISSING
KS83,1,0,1,✗ MISSING
KNLD,1,0,1,✗ MISSING
KH92,1,0,1,✗ MISSING
KNJW,1,0,1,✗ MISSING
K47K,0,1,1,✗ MISSING
KMVM,0,1,1,✗ MISSING
K5K2,0,1,1,✗ MISSING
K5R1,1,0,1,✗ MISSING
KCZQ,1,0,1,✗ MISSING
K5R4,0,1,1,✗ MISSING
KD00,0,1,1,✗ MISSING
K5W4,0,1,1,✗ MISSING
K63C,0,1,1,✗ MISSING
KN12,1,0,1,✗ MISSING
KMXL,1,0,1,✗ MISSING
K67A,0,1,1,✗ MISSING
KDBL,0,1,1,✗ MISSING
K6B0,1,0,1,✗ MISSING
KT35,0,1,1,✗ MISSING
K2F4,0,1,1,✗ MISSING
K2K4,0,1,1,✗ MISSING
KT00,0,1,1,✗ MISSING
KE77,1,0,1,✗ MISSING
KI74,0,1,1,✗ MISSING
KE52,1,0,1,✗ MISSING
KSVM,1,0,1,✗ MISSING
KE13,1,0,1,✗ MISSING
KHYP,1,0,1,✗ MISSING
KHYK,0,1,1,✗ MISSING
K3GM,1,0,1,✗ MISSING
K4D0,1,0,1,✗ MISSING
KHVQ,0,1,1,✗ MISSING
KO37,0,1,1,✗ MISSING
KO26,1,0,1,✗ MISSING
K4S2,1,0,1,✗ MISSING
K50D,0,1,1,✗ MISSING
K51J,0,1,1,✗ MISSING
K53A,1,0,1,✗ MISSING
KRZC,0,1,1,✗ MISSING
KCRC,0,1,1,✗ MISSING
KS03,1,0,1,✗ MISSING
KMQO,1,0,1,✗ MISSING
K6J0,0,1,1,✗ MISSING
KL00,0,1,1,✗ MISSING
K3M9,1,0,1,✗ MISSING
K3N6,0,1,1,✗ MISSING
K3O3,0,1,1,✗ MISSING
K3R2,1,0,1,✗ MISSING
KK81,1,0,1,✗ MISSING
KK57,0,1,1,✗ MISSING
KK16,0,1,1,✗ MISSING
KETX,1,0,1,✗ MISSING
K1B9,0,1,1,✗ MISSING
K9A4,0,1,1,✗ MISSING
KJRF,0,1,1,✗ MISSING
KJRA,1,0,1,✗ MISSING
K9A0,0,1,1,✗ MISSING
KM27,1,0,1,✗ MISSING
KM29,0,1,1,✗ MISSING
KJOT,0,1,1,✗ MISSING
KUCA,1,0,1,✗ MISSING
K99N,1,0,1,✗ MISSING
K92C,1,0,1,✗ MISSING
KA39,1,0,1,✗ MISSING
KHFF,0,1,1,✗ MISSING
KY50,1,0,1,✗ MISSING
KX59,0,1,1,✗ MISSING
K09R,1,0,1,✗ MISSING
KZQA,1,0,1,✗ MISSING
KZ12,0,1,1,✗ MISSING
KFBK,1,0,1,✗ MISSING
KY95,1,0,1,✗ MISSING
K0Q5,0,1,1,✗ MISSING
K19S,0,1,1,✗ MISSING
KF89,0,1,1,✗ MISSING
KF53,1,0,1,✗ MISSING
KF41,1,0,1,✗ MISSING
K15M,1,0,1,✗ MISSING
